variant,mean_rd,median_rd,min_rd,q10_rd,q25_rd,q75_rd,q90_rd,max_rd,players_at_min_rd,players_near_max_rd,players
C0_no_inflation,77.03010935741155,58.60098752929592,30.0,30.0,30.0,108.51535659756763,154.99961155035854,302.93806902735236,1295,0,5143
low_inflation,118.87886297158225,111.85592977568595,43.2050045199218,72.35051205833156,88.24570916874967,142.2675595953779,174.28901522248472,312.0926057365084,0,0,5143
medium_inflation,133.3042435815217,127.11733883249666,48.94394436518444,82.78858378840317,101.38460974695876,157.68507397482057,192.35536868529323,317.5876984900212,0,0,5143
high_inflation,149.79808548802023,144.78572408274678,55.25512883953147,94.92959615078061,115.35658241737467,175.67921757650834,213.36598004740088,334.41378414388737,0,0,5143
