subgroup,n_matches,minimum_sample_rule,brier_Validation_best_Elo,log_loss_Validation_best_Elo,brier_AdaptiveK_PreviousYearGames_Elo_scale300,log_loss_AdaptiveK_PreviousYearGames_Elo_scale300,brier_Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,log_loss_Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,brier_Glicko_low_inflation_match_by_match,log_loss_Glicko_low_inflation_match_by_match,delta_brier_elo_minus_asymmetric,delta_brier_symmetric_minus_asymmetric,delta_brier_asymmetric_minus_glicko,positive_delta_brier_means
active_players,11036,included only if n_matches >= 50,0.18976872107682755,0.5559039250220241,0.19039751920043868,0.558325008487848,0.1903975192004394,0.5583250084878488,0.1864795372324797,0.5488012761674594,-0.0006287981236118567,-7.216449660063518e-16,0.0039179819679596994,second named model has lower Brier for each delta column
low_previous_year_activity,3091,included only if n_matches >= 50,0.19291936884697697,0.5613251820088541,0.1957107379637572,0.5693906313719698,0.1957107379637572,0.5693906313719713,0.19186164849396017,0.5623877168099658,-0.00279136911678024,0.0,0.0038490894697970346,second named model has lower Brier for each delta column
no_previous_year_games,1931,included only if n_matches >= 50,0.18814165170900088,0.5510045355042062,0.1915188650741454,0.5597742191052716,0.19151886507414323,0.5597742191052714,0.18859962649529843,0.5548564767975703,-0.003377213365142351,2.1649348980190553e-15,0.002919238578844796,second named model has lower Brier for each delta column
inactive_players,198,included only if n_matches >= 50,0.19005772168156382,0.5516307934200082,0.19042173175950877,0.5553410751169611,0.19042173175950985,0.5553410751169755,0.18879944624811992,0.5622887088438477,-0.00036401007794603646,-1.0824674490095276e-15,0.0016222855113899315,second named model has lower Brier for each delta column
returning_players,83,included only if n_matches >= 50,0.17227233759468993,0.5096728822606214,0.1807333511393503,0.5329378310256004,0.1807333511393546,0.5329378310256244,0.16756200934482635,0.5046195145657059,-0.008461013544664664,-4.3021142204224816e-15,0.013171341794528252,second named model has lower Brier for each delta column
