model,n_rated_players_before_2025,n_rated_players_after_2025,mean_rating_before_2025,mean_rating_after_2025,median_rating_before_2025,median_rating_after_2025,rating_sd_before_2025,rating_sd_after_2025,total_rating_sum_before_2025,total_rating_sum_after_2025,total_rating_sum_after_minus_before,total_rating_drift_during_2025,mean_rating_drift_per_match,minimum_rating_after_2025,maximum_rating_after_2025,notes
AdaptiveK_PreviousYearGames_Elo_scale300,5067,5143,1475.7390360175814,1475.6896345294992,1459.222707582569,1458.3041296318595,124.00578277919564,125.1940956409252,7477569.695501085,7589471.790385215,111902.09488412924,-2097.905115870651,-0.18436638684160744,1116.0123259790673,2152.5426137339805,Step 27 reference and Step 38 asymmetric are identical after audit.
Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,5067,5143,1475.7390360175814,1475.6896345294992,1459.222707582569,1458.3041296318595,124.00578277919564,125.1940956409252,7477569.695501085,7589471.790385215,111902.09488412924,-2097.905115870651,-0.18436638684160744,1116.0123259790673,2152.5426137339805,Step 27 reference and Step 38 asymmetric are identical after audit.
