scope,group_type,group,model,convention,diagnostic_only,number_of_appearances,number_of_unique_focal_players,number_of_unique_matches,brier,log_loss,accuracy,mean_predicted_probability,empirical_win_rate,prediction_bias
appearance_level,cumulative,first_1,Validation_best_Elo,elo_reference,False,76,76,74,0.21052176486868873,0.6032904936938518,0.6447368421052632,0.5385363224511316,0.40789473684210525,0.13064158560902633
appearance_level,cumulative,first_1,Glicko_low_current,current,False,76,76,74,0.32231552380393214,0.8955743860411198,0.5131578947368421,0.7434483364113538,0.40789473684210525,0.3355535995692485
appearance_level,cumulative,first_1,Glicko_low_reversed,reversed,False,76,76,74,0.36037466450061634,1.0536358352368145,0.5131578947368421,0.7869939795121185,0.40789473684210525,0.3790992426700132
appearance_level,cumulative,first_1,Glicko_low_midpoint,midpoint,False,76,76,74,0.3404367523541816,0.9626762401603016,0.5131578947368421,0.7652211579617361,0.40789473684210525,0.3573264211196308
appearance_level,cumulative,first_1,Glicko_low_direct_focal,direct_focal,True,76,76,74,0.3598584161448394,1.0521807135380543,0.5131578947368421,0.7880934036688146,0.40789473684210525,0.3801986668267094
appearance_level,cumulative,first_5,Validation_best_Elo,elo_reference,False,406,108,387,0.23380795352427225,0.6655330156878843,0.6108374384236454,0.5329992649330123,0.4433497536945813,0.08964951123843101
appearance_level,cumulative,first_5,Glicko_low_current,current,False,406,108,387,0.25380894143720256,0.7280283243401723,0.6231527093596059,0.5863701517444896,0.4433497536945813,0.1430203980499083
appearance_level,cumulative,first_5,Glicko_low_reversed,reversed,False,406,108,387,0.265977946050651,0.784742715252337,0.6231527093596059,0.5996746732126917,0.4433497536945813,0.15632491951811045
appearance_level,cumulative,first_5,Glicko_low_midpoint,midpoint,False,406,108,387,0.2595337511417374,0.752058585456134,0.6231527093596059,0.5930224124785907,0.4433497536945813,0.14967265878400937
appearance_level,cumulative,first_5,Glicko_low_direct_focal,direct_focal,True,406,108,387,0.26604392913033775,0.7835561154953635,0.6231527093596059,0.6001826648453289,0.4433497536945813,0.1568329111507476
appearance_level,cumulative,first_10,Validation_best_Elo,elo_reference,False,855,166,785,0.22107566026958406,0.6314538120560313,0.631578947368421,0.4957156475934655,0.4304093567251462,0.0653062908683193
appearance_level,cumulative,first_10,Glicko_low_current,current,False,855,166,785,0.2314886029339883,0.6689450861455634,0.6573099415204678,0.5098015063960607,0.4304093567251462,0.07939214967091451
appearance_level,cumulative,first_10,Glicko_low_reversed,reversed,False,855,166,785,0.23826931170229387,0.7012942279391498,0.6573099415204678,0.5153600855850066,0.4304093567251462,0.08495072885986038
appearance_level,cumulative,first_10,Glicko_low_midpoint,midpoint,False,855,166,785,0.23467338112169148,0.6826394086574191,0.6573099415204678,0.5125807959905336,0.4304093567251462,0.08217143926538745
appearance_level,cumulative,first_10,Glicko_low_direct_focal,direct_focal,True,855,166,785,0.23785667440367383,0.6975639648483173,0.6573099415204678,0.51589420439446,0.4304093567251462,0.0854848476693138
appearance_level,cumulative,first_20,Validation_best_Elo,elo_reference,False,1695,255,1463,0.2126556705433081,0.6090924793565669,0.6501474926253688,0.4756744316666206,0.431858407079646,0.04381602458697459
appearance_level,cumulative,first_20,Glicko_low_current,current,False,1695,255,1463,0.216537661185536,0.6265296253018734,0.6707964601769911,0.4769582712792187,0.431858407079646,0.04509986419957268
appearance_level,cumulative,first_20,Glicko_low_reversed,reversed,False,1695,255,1463,0.22055406664392477,0.6452405011070864,0.6707964601769911,0.4783425556034621,0.431858407079646,0.046484148523816105
appearance_level,cumulative,first_20,Glicko_low_midpoint,midpoint,False,1695,255,1463,0.21842159744589762,0.6344293104879519,0.6707964601769911,0.4776504134413404,0.431858407079646,0.04579200636169439
appearance_level,cumulative,first_20,Glicko_low_direct_focal,direct_focal,True,1695,255,1463,0.21990126769784873,0.6412123670265388,0.6707964601769911,0.4793907105328986,0.431858407079646,0.0475323034532526
appearance_level,cumulative,first_30,Validation_best_Elo,elo_reference,False,2399,302,1987,0.20794138858339475,0.5969809899915454,0.6594414339308045,0.4625234640337461,0.4314297624010004,0.03109370163274572
appearance_level,cumulative,first_30,Glicko_low_current,current,False,2399,302,1987,0.2104408786129603,0.6098531134874987,0.6761150479366402,0.4626369653982318,0.4314297624010004,0.031207202997231398
appearance_level,cumulative,first_30,Glicko_low_reversed,reversed,False,2399,302,1987,0.21361975547983117,0.6244718942162646,0.6761150479366402,0.4630002561489213,0.4314297624010004,0.031570493747920925
appearance_level,cumulative,first_30,Glicko_low_midpoint,midpoint,False,2399,302,1987,0.2119321685234658,0.616027785238843,0.6761150479366402,0.4628186107735765,0.4314297624010004,0.031388848372576106
