group,model,model_display,n_matches,brier,log_loss,accuracy,mean_predicted_probability,empirical_win_rate,prediction_bias
overall_2025,Validation_best_Elo,Validation-best Elo,11379,0.19007264006008115,0.5565342559485486,0.7044555760611653,0.5358810622378227,0.5354600580015818,0.0004210042362409183
overall_2025,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,11379,0.19078142253619362,0.5591847915469786,0.7062131997539327,0.5334423012829878,0.5354600580015818,-0.002017756718594055
overall_2025,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,11379,0.1907814225361941,0.5591847915469793,0.7062131997539327,0.5334423012829866,0.5354600580015818,-0.002017756718595165
overall_2025,Glicko_low_inflation_match_by_match,Low-inflation Glicko,11379,0.18760386892431194,0.55177872430023,0.7114860708322348,0.5374409144123214,0.5354600580015818,0.00198085641073964
