group_type,group,group_order,threshold,appearance_number,appearance_stage,comparison,comparison_label,left_model,right_model,metric,metric_definition,appearances,players,matches,positive_delta_means,point_estimate,ci_lower,ci_upper,bootstrap_type,bootstrap_replications,cluster_variable,clusters,small_sample_warning
cumulative_threshold,first_10,10,10,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,855,166,785,Glicko low inflation better,-0.0104129426645,-0.0228132341612,0.00218510428801,player_cluster,2000,player_id,166,False
cumulative_threshold,first_10,10,10,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,855,166,785,Glicko low inflation better,-0.0374912740897,-0.069446283061,-0.00626656775837,player_cluster,2000,player_id,166,False
cumulative_threshold,first_10,10,10,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,855,166,785,Glicko low inflation better,0.025730994152,-0.00372670807453,0.0551890067718,player_cluster,2000,player_id,166,False
cumulative_threshold,first_10,10,10,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_brier,left_model_brier - right_model_brier,855,166,785,Adaptive-K Elo better,-0.00695886454312,-0.0102076585451,-0.00359632553107,player_cluster,2000,player_id,166,False
cumulative_threshold,first_10,10,10,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_log_loss,left_model_log_loss - right_model_log_loss,855,166,785,Adaptive-K Elo better,-0.0150991181378,-0.023426954016,-0.00590326499361,player_cluster,2000,player_id,166,False
cumulative_threshold,first_10,10,10,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_accuracy,right_model_accuracy - left_model_accuracy,855,166,785,Adaptive-K Elo better,-0.0046783625731,-0.0217422574674,0.0119349649168,player_cluster,2000,player_id,166,False
cumulative_threshold,first_10,10,10,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,855,166,785,Glicko low inflation better,0.00372336769749,-0.000660560294464,0.00840866101401,player_cluster,2000,player_id,166,False
cumulative_threshold,first_10,10,10,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,855,166,785,Glicko low inflation better,0.0113094286753,0.000184642292684,0.0227714209009,player_cluster,2000,player_id,166,False
cumulative_threshold,first_10,10,10,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,855,166,785,Glicko low inflation better,0.00818713450292,-0.00828476155673,0.0253483452032,player_cluster,2000,player_id,166,False
cumulative_threshold,first_20,20,20,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,1695,255,1463,Glicko low inflation better,-0.00388199064231,-0.0108506957079,0.00308038326708,player_cluster,2000,player_id,255,False
cumulative_threshold,first_20,20,20,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,1695,255,1463,Glicko low inflation better,-0.0174371459455,-0.0361044455644,0.00119506380871,player_cluster,2000,player_id,255,False
cumulative_threshold,first_20,20,20,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,1695,255,1463,Glicko low inflation better,0.0206489675516,0.00180938199651,0.0412778055629,player_cluster,2000,player_id,255,False
cumulative_threshold,first_20,20,20,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_brier,left_model_brier - right_model_brier,1695,255,1463,Adaptive-K Elo better,-0.00527044978655,-0.0074756178261,-0.00290851104069,player_cluster,2000,player_id,255,False
cumulative_threshold,first_20,20,20,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_log_loss,left_model_log_loss - right_model_log_loss,1695,255,1463,Adaptive-K Elo better,-0.0130604205003,-0.0189171613401,-0.0071252460626,player_cluster,2000,player_id,255,False
cumulative_threshold,first_20,20,20,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_accuracy,right_model_accuracy - left_model_accuracy,1695,255,1463,Adaptive-K Elo better,-0.00117994100295,-0.0122224325374,0.00973917595649,player_cluster,2000,player_id,255,False
cumulative_threshold,first_20,20,20,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,1695,255,1463,Glicko low inflation better,0.00427610930816,0.000776636775154,0.00780256973603,player_cluster,2000,player_id,255,False
cumulative_threshold,first_20,20,20,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,1695,255,1463,Glicko low inflation better,0.0114576949103,0.00332698728118,0.0193036285193,player_cluster,2000,player_id,255,False
cumulative_threshold,first_20,20,20,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,1695,255,1463,Glicko low inflation better,0.0106194690265,-0.00221628217256,0.0244613587101,player_cluster,2000,player_id,255,False
cumulative_threshold,first_30,30,30,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,2399,302,1987,Glicko low inflation better,-0.00249949002973,-0.00801722633242,0.0030664990435,player_cluster,2000,player_id,302,False
cumulative_threshold,first_30,30,30,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,2399,302,1987,Glicko low inflation better,-0.0128721234963,-0.0271841286848,0.00243736033205,player_cluster,2000,player_id,302,False
cumulative_threshold,first_30,30,30,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,2399,302,1987,Glicko low inflation better,0.0166736140058,0.00124681625981,0.0325151037562,player_cluster,2000,player_id,302,False
