setting_name,period_type,start_year,end_year,evaluation_year,evaluation_games,log_loss,brier_score,accuracy,baseline_accuracy,mean_predicted_probability,observed_win_rate,pred_a_win_min,pred_a_win_max,pred_a_win_out_of_range_count,evaluation_fcode_hash,evaluation_fcode_set_matches_reference,evaluation_fcode_order_matches_reference
glicko1_period_match_c0,match_by_match,1985,2025,2025,11379,0.5719575739115588,0.1957076933405641,0.6937340715352843,0.5354600580015818,0.5591244393069927,0.5354600580015818,0.003386939942426384,0.9982603587205969,0,d173d087c1a1e9bd51fb3391af22c697,True,True
glicko1_period_event_c0,event_level,1985,2025,2025,11379,0.5881669000419171,0.2012320209189822,0.6847701907021707,0.5354600580015818,0.5538148508430358,0.5354600580015818,0.002025554846085459,0.999125175050298,0,d173d087c1a1e9bd51fb3391af22c697,True,True
glicko1_period_monthly_c0,monthly,1985,2025,2025,11379,0.5899327343359905,0.20214477628937463,0.6851217154407241,0.5354600580015818,0.5525302021159632,0.5354600580015818,0.002828835758512416,0.9985934050721862,0,d173d087c1a1e9bd51fb3391af22c697,True,True
glicko1_period_yearly_c0,yearly,1985,2025,2025,11379,0.6107045994167629,0.2102503776945106,0.6671939537744969,0.5354600580015818,0.5426071374646971,0.5354600580015818,0.002178493602536765,0.9985006810778706,0,d173d087c1a1e9bd51fb3391af22c697,True,True
