sample,model,model_display,bin_label,bin_lower,bin_upper,games,mean_player_a_probability,empirical_player_a_win_rate,calibration_gap
Overall,Default_Elo,Default Elo,0.2-0.3,0.2,0.3,866,0.256779725674,0.228637413395,-0.0281423122787
Overall,Default_Elo,Default Elo,0.3-0.4,0.3,0.4,1533,0.354278989528,0.331376386171,-0.0229026033568
Overall,Default_Elo,Default Elo,0.4-0.5,0.4,0.5,2061,0.451792919797,0.416302765648,-0.0354901541495
Overall,Default_Elo,Default Elo,0.5-0.6,0.5,0.6,2018,0.547790959407,0.574331020813,0.0265400614054
Overall,Default_Elo,Default Elo,0.6-0.7,0.6,0.7,1537,0.645978254251,0.66753415745,0.0215559031985
Overall,Default_Elo,Default Elo,0.7-0.8,0.7,0.8,1158,0.747307147362,0.772884283247,0.0255771358852
Overall,Default_Elo,Default Elo,0.8-0.9,0.8,0.9,989,0.849407710424,0.868554095046,0.0191463846219
Overall,Default_Elo,Default Elo,0.9-1.0,0.9,1,564,0.939791558226,0.957446808511,0.0176552502849
Either player debut,Glicko_low_fixed,Glicko low inflation,0.0-0.1,0,0.1,8,0.0724963923166,0.5,0.427503607683
Either player debut,Glicko_low_fixed,Glicko low inflation,0.1-0.2,0.1,0.2,33,0.154144967054,0.424242424242,0.270097457189
Either player debut,Glicko_low_fixed,Glicko low inflation,0.2-0.3,0.2,0.3,14,0.259319491991,0.785714285714,0.526394793723
Either player debut,Glicko_low_fixed,Glicko low inflation,0.3-0.4,0.3,0.4,5,0.360018441919,0.8,0.439981558081
Either player debut,Glicko_low_fixed,Glicko low inflation,0.4-0.5,0.4,0.5,2,0.44340267776,1,0.55659732224
Either player debut,Glicko_low_fixed,Glicko low inflation,0.5-0.6,0.5,0.6,5,0.52230925261,0.8,0.27769074739
Either player debut,Glicko_low_fixed,Glicko low inflation,0.6-0.7,0.6,0.7,4,0.657448746922,1,0.342551253078
Either player debut,Glicko_low_fixed,Glicko low inflation,0.7-0.8,0.7,0.8,2,0.706335961879,1,0.293664038121
Either player debut,Glicko_low_fixed,Glicko low inflation,0.8-0.9,0.8,0.9,1,0.845232809701,1,0.154767190299
Either player debut,Glicko_low_fixed,Glicko low inflation,0.9-1.0,0.9,1,0,,,
Either player debut,Validation_best_Elo,Validation-best Elo,0.0-0.1,0,0.1,0,,,
Either player debut,Validation_best_Elo,Validation-best Elo,0.1-0.2,0.1,0.2,0,,,
Either player debut,Validation_best_Elo,Validation-best Elo,0.2-0.3,0.2,0.3,11,0.262424777027,0.181818181818,-0.0806065952085
Either player debut,Validation_best_Elo,Validation-best Elo,0.3-0.4,0.3,0.4,22,0.346007502819,0.5,0.153992497181
Either player debut,Validation_best_Elo,Validation-best Elo,0.4-0.5,0.4,0.5,17,0.447180166399,0.647058823529,0.199878657131
Either player debut,Validation_best_Elo,Validation-best Elo,0.5-0.6,0.5,0.6,12,0.538159017368,0.833333333333,0.295174315965
Either player debut,Validation_best_Elo,Validation-best Elo,0.6-0.7,0.6,0.7,4,0.649255833555,1,0.350744166445
Either player debut,Validation_best_Elo,Validation-best Elo,0.7-0.8,0.7,0.8,2,0.787721831443,1,0.212278168557
Either player debut,Validation_best_Elo,Validation-best Elo,0.8-0.9,0.8,0.9,4,0.869102066585,1,0.130897933415
Either player debut,Validation_best_Elo,Validation-best Elo,0.9-1.0,0.9,1,2,0.916435237103,1,0.083564762897
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.0-0.1,0,0.1,0,,,
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.1-0.2,0.1,0.2,2,0.182548233906,0,-0.182548233906
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.2-0.3,0.2,0.3,12,0.265206908944,0.333333333333,0.0681264243898
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.3-0.4,0.3,0.4,24,0.344397492284,0.5,0.155602507716
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.4-0.5,0.4,0.5,15,0.442278306108,0.733333333333,0.291055027226
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.5-0.6,0.5,0.6,11,0.518483249223,0.818181818182,0.299698568959
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.6-0.7,0.6,0.7,3,0.632337877467,1,0.367662122533
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.7-0.8,0.7,0.8,3,0.738360754681,1,0.261639245319
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.8-0.9,0.8,0.9,4,0.843064218552,1,0.156935781448
Either player debut,best_AdaptiveK,Best adaptive-K Elo,0.9-1.0,0.9,1,0,,,
Either player debut,Glicko_C0_fixed,Glicko C0,0.0-0.1,0,0.1,7,0.0594856493639,0.285714285714,0.22622863635
Either player debut,Glicko_C0_fixed,Glicko C0,0.1-0.2,0.1,0.2,32,0.144318399972,0.53125,0.386931600028
Either player debut,Glicko_C0_fixed,Glicko C0,0.2-0.3,0.2,0.3,16,0.243366008782,0.625,0.381633991218
Either player debut,Glicko_C0_fixed,Glicko C0,0.3-0.4,0.3,0.4,7,0.334359049028,0.857142857143,0.522783808115
Either player debut,Glicko_C0_fixed,Glicko C0,0.4-0.5,0.4,0.5,4,0.449277974308,1,0.550722025692
Either player debut,Glicko_C0_fixed,Glicko C0,0.5-0.6,0.5,0.6,6,0.527485051346,0.833333333333,0.305848281987
Either player debut,Glicko_C0_fixed,Glicko C0,0.6-0.7,0.6,0.7,0,,,
Either player debut,Glicko_C0_fixed,Glicko C0,0.7-0.8,0.7,0.8,1,0.759793972906,1,0.240206027094
Either player debut,Glicko_C0_fixed,Glicko C0,0.8-0.9,0.8,0.9,1,0.865099834129,1,0.134900165871
Either player debut,Glicko_C0_fixed,Glicko C0,0.9-1.0,0.9,1,0,,,
Either player debut,Default_Elo,Default Elo,0.0-0.1,0,0.1,0,,,
Either player debut,Default_Elo,Default Elo,0.1-0.2,0.1,0.2,0,,,
Either player debut,Default_Elo,Default Elo,0.2-0.3,0.2,0.3,2,0.272596870778,0,-0.272596870778
Either player debut,Default_Elo,Default Elo,0.3-0.4,0.3,0.4,17,0.361095321662,0.411764705882,0.0506693842207
Either player debut,Default_Elo,Default Elo,0.4-0.5,0.4,0.5,33,0.449830530664,0.575757575758,0.125927045093
Either player debut,Default_Elo,Default Elo,0.5-0.6,0.5,0.6,14,0.529945494978,0.857142857143,0.327197362165
Either player debut,Default_Elo,Default Elo,0.6-0.7,0.6,0.7,3,0.658612090864,1,0.341387909136
Either player debut,Default_Elo,Default Elo,0.7-0.8,0.7,0.8,3,0.768857335044,1,0.231142664956
Either player debut,Default_Elo,Default Elo,0.8-0.9,0.8,0.9,2,0.835569193497,1,0.164430806503
Either player debut,Default_Elo,Default Elo,0.9-1.0,0.9,1,0,,,
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.0-0.1,0,0.1,36,0.0661471424897,0.305555555556,0.239408413066
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.1-0.2,0.1,0.2,83,0.150280669685,0.385542168675,0.23526149899
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.2-0.3,0.2,0.3,64,0.249999635611,0.5,0.250000364389
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.3-0.4,0.3,0.4,41,0.351039471586,0.536585365854,0.185545894267
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.4-0.5,0.4,0.5,57,0.44813294811,0.491228070175,0.0430951220651
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.5-0.6,0.5,0.6,41,0.546998717867,0.658536585366,0.111537867499
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.6-0.7,0.6,0.7,46,0.64871062506,0.739130434783,0.0904198097228
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.7-0.8,0.7,0.8,36,0.754989901426,0.611111111111,-0.143878790315
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.8-0.9,0.8,0.9,40,0.845301979134,0.85,0.00469802086568
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,0.9-1.0,0.9,1,21,0.944050889431,0.904761904762,-0.0392889846694
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,0.0-0.1,0,0.1,1,0.0923179592106,0,-0.0923179592106
