group,evidence_status,n_first_appearances,n_unique_players,n_unique_matches,n_both_new_matches,mean_current_probability,mean_direct_probability,empirical_win_rate,current_prediction_bias,direct_prediction_bias,current_brier,direct_brier,current_log_loss,direct_log_loss,mean_opponent_rating,median_opponent_rating,mean_initial_minus_opponent_rating,median_initial_minus_opponent_rating,mean_contemporaneous_established_rating,median_contemporaneous_established_rating,mean_initial_minus_contemporaneous_median,median_initial_minus_contemporaneous_median,mean_active_established_365d_median,mean_initial_minus_active_established_365d_median,mean_probability_difference_direct_minus_current,mean_contemporaneous_pool_size,share_contemporaneous_scale_available,share_active_scale_available
system_start_left_censored,model-start left-censored descriptive context,314,314,235,79,0.5043725410712724,0.5034802096467048,0.4426751592356688,0.06169738183560358,0.06080505041103601,0.2415782267698458,0.24388770967734782,0.6753924468003252,0.6831396643323454,1497.3347187112283,1500.0,2.665281288771801,0.0,1488.7117319549736,1466.7948541931328,30.70645151931053,33.20514580686711,1469.2935484806892,30.70645151931053,-0.000892331424567498,156.2484076433121,0.9936305732484076,0.9936305732484076
within_5y_burn_in_recorded_entry,burn-in descriptive context,456,456,418,38,0.4454960688208993,0.43469490976091346,0.26535087719298245,0.18014519162791687,0.169344032567931,0.219654313727752,0.22171584069962436,0.6278065228024241,0.6339178133951069,1567.3663864579505,1500.0,-67.3663864579506,0.0,1448.9736132958249,1432.5977779758573,66.09586705510009,67.4022220241427,1460.5545229263732,39.44547707362677,-0.010801159059985879,541.4166666666666,1.0,1.0
post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,4297,4297,4067,230,0.5959423492746092,0.6152335019776825,0.3272050267628578,0.2687373225117514,0.28802847521482466,0.27959516855358374,0.3007731590519923,0.7807512672538778,0.8697353727928572,1379.778611299218,1374.0656025996311,120.22138870078204,125.93439740036888,1333.6330558411553,1309.6872062527436,188.50602774303027,190.31279374725636,1371.1237219712348,128.87627802876517,0.019291152703073217,2917.9464742843843,1.0,1.0
test_year_recorded_entry,held-out test evidence,76,76,74,2,0.7434483364117653,0.7880934036692926,0.40789473684210525,0.3355535995696601,0.38019866682718734,0.3223155238042425,0.3598584161452452,0.895574386041908,1.052180713539456,1180.7550147538468,1128.9707892838228,319.24498524615313,371.0292107161772,1258.6831326990884,1237.3672993271366,262.6588512093879,262.6327006728634,1314.8478882930515,185.1521117069485,0.044645067257527114,5104.473684210527,1.0,1.0
all_post_burn_in_recorded_entries_1990_2025,mixed historical descriptive and held-out evidence,4373,4373,4141,232,0.5985059109079098,0.6182376987598828,0.32860736336611024,0.2698985475417996,0.28963033539377253,0.2803376215604555,0.30180002379909665,0.7827468211134456,0.8729061584998641,1376.3197058939018,1369.9351477230443,123.68029410609836,130.06485227695566,1332.3304731384803,1308.7545466540269,189.79475735278172,191.24545334597315,1370.145683242778,129.85431675722205,0.01973178785197294,2955.9469471758516,1.0,1.0
