group,n_first_appearances,n_unique_players,n_unique_matches,n_both_debut_matches,mean_predicted_win_probability,empirical_win_rate,prediction_bias_mean_p_minus_win_rate,brier,log_loss,mean_focal_rating,mean_opponent_rating,median_opponent_rating,mean_focal_minus_opponent_rating,median_focal_minus_opponent_rating,mean_focal_rd,mean_opponent_rd,mean_opponent_prior_games
system_start_left_censored,314,314,235,79,0.5043725410712724,0.4426751592356688,0.06169738183560358,0.2415782267698458,0.6753924468003252,1500.0,1497.3347187112283,1500.0,2.665281288771801,0.0,350.0,265.30437667801124,5.611464968152866
within_5y_burn_in_recorded_entry,456,456,418,38,0.4454960688208993,0.26535087719298245,0.18014519162791687,0.219654313727752,0.6278065228024241,1500.0,1567.3663864579505,1500.0,-67.3663864579506,0.0,350.0,167.26832428718288,48.703947368421055
post_burn_in_recorded_entry,4297,4297,4067,230,0.5959423492746092,0.3272050267628578,0.2687373225117514,0.27959516855358374,0.7807512672538778,1500.0,1379.778611299218,1374.0656025996311,120.22138870078204,125.93439740036888,350.0,142.20546347900085,147.3611822201536
test_year_recorded_entry,76,76,74,2,0.7434483364117653,0.40789473684210525,0.3355535995696601,0.3223155238042425,0.895574386041908,1500.0,1180.7550147538468,1128.9707892838228,319.24498524615313,371.0292107161772,350.0,139.24621051431947,110.63157894736842
all_post_burn_in_recorded_entries_1990_2025,4373,4373,4141,232,0.5985059109079098,0.32860736336611024,0.2698985475417996,0.2803376215604555,0.7827468211134456,1500.0,1376.3197058939018,1369.9351477230443,123.68029410609836,130.06485227695566,350.0,142.15403351666015,146.722844729019
all_first_recorded_appearances_1985_2025,5143,5143,4794,349,0.5791922095428738,0.3299630565817616,0.24922915296111214,0.2725907737409019,0.7624547640331141,1500.0,1400.6471413132767,1416.7455866925714,99.35285868672311,83.25441330742865,350.0,151.8995758740435,129.4166828699203
