group,evidence_status,n_first_appearances,mean_current_probability,mean_direct_probability,empirical_win_rate,current_prediction_bias,direct_prediction_bias,current_brier,direct_brier,current_log_loss,direct_log_loss,mean_probability_difference_direct_minus_current,current_overprediction_direction,direct_overprediction_direction,qualitative_direction_agrees,interpretation_limit
system_start_left_censored,model-start left-censored descriptive context,314,0.5043725410712724,0.5034802096467048,0.4426751592356688,0.06169738183560358,0.06080505041103601,0.2415782267698458,0.24388770967734782,0.6753924468003252,0.6831396643323454,-0.000892331424567498,True,True,True,Direct-focal probabilities are sensitivity evidence only; the current Meeting 7 convention remains primary.
within_5y_burn_in_recorded_entry,burn-in descriptive context,456,0.4454960688208993,0.43469490976091346,0.26535087719298245,0.18014519162791687,0.169344032567931,0.219654313727752,0.22171584069962436,0.6278065228024241,0.6339178133951069,-0.010801159059985879,True,True,True,Direct-focal probabilities are sensitivity evidence only; the current Meeting 7 convention remains primary.
post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,4297,0.5959423492746092,0.6152335019776825,0.3272050267628578,0.2687373225117514,0.28802847521482466,0.27959516855358374,0.3007731590519923,0.7807512672538778,0.8697353727928572,0.019291152703073217,True,True,True,Direct-focal probabilities are sensitivity evidence only; the current Meeting 7 convention remains primary.
test_year_recorded_entry,held-out test evidence,76,0.7434483364117653,0.7880934036692926,0.40789473684210525,0.3355535995696601,0.38019866682718734,0.3223155238042425,0.3598584161452452,0.895574386041908,1.052180713539456,0.044645067257527114,True,True,True,Direct-focal probabilities are sensitivity evidence only; the current Meeting 7 convention remains primary.
all_post_burn_in_recorded_entries_1990_2025,mixed historical descriptive and held-out evidence,4373,0.5985059109079098,0.6182376987598828,0.32860736336611024,0.2698985475417996,0.28963033539377253,0.2803376215604555,0.30180002379909665,0.7827468211134456,0.8729061584998641,0.01973178785197294,True,True,True,Direct-focal probabilities are sensitivity evidence only; the current Meeting 7 convention remains primary.
