year,entry_cohort,n_first_appearances,n_unique_players,n_unique_matches,n_both_debut_matches,mean_predicted_win_probability,empirical_win_rate,prediction_bias_mean_p_minus_win_rate,brier,log_loss,mean_focal_rating,mean_opponent_rating,median_opponent_rating,mean_focal_minus_opponent_rating,median_focal_minus_opponent_rating,mean_focal_rd,mean_opponent_rd,mean_opponent_prior_games
1985,system_start_left_censored,314,314,235,79,0.5043725410712724,0.4426751592356688,0.06169738183560358,0.2415782267698458,0.6753924468003252,1500.0,1497.3347187112283,1500.0,2.665281288771801,0.0,350.0,265.30437667801124,5.611464968152866
1986,within_5y_burn_in_recorded_entry,118,118,111,7,0.4285248906493831,0.2288135593220339,0.1997113313273492,0.21045849473524883,0.6061982287741652,1500.0,1580.8665872439017,1563.3500148000737,-80.86658724390189,-63.35001480007372,350.0,164.21167306728617,27.64406779661017
1987,within_5y_burn_in_recorded_entry,74,74,69,5,0.4731354007080393,0.2702702702702703,0.202865130437769,0.23390167944564166,0.6580190675359646,1500.0,1535.6267505422754,1500.0,-35.626750542275246,0.0,350.0,162.3654787910679,28.905405405405407
1988,within_5y_burn_in_recorded_entry,94,94,88,6,0.4861643110620316,0.2765957446808511,0.20956856638118054,0.23409901564902225,0.6598420187117752,1500.0,1516.415904850811,1500.0,-16.415904850811074,0.0,350.0,157.9658741906564,53.712765957446805
1989,within_5y_burn_in_recorded_entry,170,170,150,20,0.422757678785159,0.2823529411764706,0.14040473760868843,0.21184842900652925,0.6119401332116802,1500.0,1599.9843549055322,1500.0,-99.98435490553197,0.0,350.0,176.66788734444057,69.17058823529412
1990,post_burn_in_recorded_entry,111,111,103,8,0.5366180652018937,0.40540540540540543,0.13121265979648827,0.19287864349501216,0.5681116943878158,1500.0,1462.6606938407076,1491.6343181439604,37.339306159292505,8.3656818560396,350.0,152.56829176697835,55.67567567567568
1991,post_burn_in_recorded_entry,164,164,156,8,0.4250086213405008,0.2621951219512195,0.1628134993892813,0.21672340066461412,0.6207337648142538,1500.0,1592.7072985483928,1559.553400248416,-92.70729854839276,-59.55340024841598,350.0,144.8326349186024,78.14024390243902
1992,post_burn_in_recorded_entry,137,137,133,4,0.4853180955149244,0.24087591240875914,0.24444218310616525,0.21684091872368344,0.6202957002723701,1500.0,1523.4274553729797,1500.0,-23.427455372979523,0.0,350.0,127.3342725943793,76.0
1993,post_burn_in_recorded_entry,151,151,142,9,0.5046365754584817,0.31788079470198677,0.18675578075649496,0.22979313928679915,0.6484374734724789,1500.0,1505.1724748709498,1500.0,-5.172474870949483,0.0,350.0,143.2735632061268,81.50993377483444
1994,post_burn_in_recorded_entry,100,100,95,5,0.5140851018443309,0.37,0.14408510184433088,0.2051423782448915,0.6040006396785538,1500.0,1487.0567063396427,1500.0,12.943293660356883,0.0,350.0,144.25461423395384,85.41
