subgroup,games,events,glicko_brier,elo_brier,delta_brier,delta_brier_ci_lower,delta_brier_ci_upper,glicko_logloss,elo_logloss,delta_logloss,delta_logloss_ci_lower,delta_logloss_ci_upper,glicko_accuracy,elo_accuracy,inflation_delta_brier,adaptive_delta_brier,small_sample_warning
Overall,11379,629,0.187723898475,0.19007264006,0.00234874158473,0.000870412362364,0.00385256570773,0.552153543275,0.556534255949,0.00438071267314,0.000680868644016,0.00796450734517,0.711573952017,0.704543457246,0.00801871512714,0.00305752406084,False
Either player debut,74,60,0.318808459777,0.209454785541,-0.109353674236,-0.155037111884,-0.0622129548194,0.875898269761,0.600861934589,-0.275036335172,-0.402872666645,-0.155679243179,0.527027027027,0.662162162162,0.0263948478695,-0.0941426844954,False
Total previous games <= 5,465,119,0.244379207356,0.233014669881,-0.0113645374746,-0.0302201040498,0.00810699437074,0.69808079511,0.662449355276,-0.0356314398336,-0.0857790150187,0.013349911868,0.630107526882,0.617204301075,0.00300611933085,-0.0060799734317,False
Recent games <= 5,1635,334,0.206329932951,0.204180770096,-0.00214916285542,-0.00879561016553,0.00456802187869,0.59776495332,0.588389649641,-0.00937530367947,-0.0269383101461,0.00877247126685,0.678287461774,0.667889908257,0.0130075944589,0.00066557017711,False
Inactive >= 365 days,198,148,0.188835410496,0.190057721682,0.00122231118522,-0.0132407944118,0.0159222764274,0.560715442806,0.55163079342,-0.00908464938622,-0.0568374922555,0.0293479548571,0.727272727273,0.69696969697,0.0286147500149,0.00158632126319,False
Inactive >= 730 days,83,73,0.16707177086,0.172272337595,0.00520056673506,-0.0120587393356,0.0212436262508,0.499144285523,0.509672882261,0.0105285967371,-0.0292083807658,0.0499063194771,0.746987951807,0.710843373494,0.0439566320261,0.0136615802798,False
Both players active last 365 days,11036,626,0.186642932994,0.189768721077,0.00312578808283,0.00175400791073,0.00451351824676,0.549399610245,0.555903925022,0.00650431477702,0.00305885844871,0.00967440552799,0.712939470823,0.705509242479,0.00747702817043,0.00375458620644,False
Highest RD quartile,2845,423,0.187867520187,0.188364088413,0.000496568225084,-0.00436011686848,0.0054405286835,0.551185786654,0.54881578834,-0.00236999831421,-0.0144089388516,0.00974463952508,0.71388400703,0.699472759227,0.0126811874299,0.00402663509575,False
Lowest RD quartile,2845,321,0.195308330534,0.197899628992,0.00259129845758,0.000871155400892,0.00440691434909,0.570641194815,0.576314646471,0.0056734516567,0.00181441280653,0.00994863065119,0.691036906854,0.688576449912,0.00824464757818,0.0021296918388,False
