model,model_display,variable,count,mean,std,min,p10,p25,median,p75,p90,max,count_abs_gap_gt_1e_12,count_abs_gap_gt_1e_6
Glicko_C0,Glicko C0,probability_sum,11379,1.00027401256,0.00882276068495,0.93175243857,0.997559040798,0.999754993938,1,1,1.00098960487,1.0878489451,5797,5780
Glicko_C0,Glicko C0,complement_gap,11379,0.000274012562387,0.00882276068495,-0.06824756143,-0.00244095920202,-0.000245006062094,0,1.11022302463e-16,0.000989604866629,0.0878489451028,5797,5780
Glicko_C0,Glicko C0,abs_complement_gap,11379,0.00262381852767,0.00842799898295,0,0,0,9.30324662468e-06,0.00109079805115,0.00639556489588,0.0878489451028,5797,5780
Glicko_low,Glicko low inflation,probability_sum,11379,0.999771870646,0.00900340745484,0.925982201437,0.994357551663,0.997981945837,0.999840341777,1.00088881248,1.0036067156,1.08179714914,11377,11361
Glicko_low,Glicko low inflation,complement_gap,11379,-0.000228129354177,0.00900340745484,-0.0740177985634,-0.00564244833719,-0.00201805416313,-0.000159658223342,0.000888812481584,0.00360671559718,0.0817971491399,11377,11361
Glicko_low,Glicko low inflation,abs_complement_gap,11379,0.00392987055515,0.00810358892392,0,0.000123543392566,0.000455773846632,0.00139441230156,0.00380296905927,0.00892889807283,0.0817971491399,11377,11361
