model,model_display,count,unique_opponents,mean,median,p10,p25,p75,p90,initial_rating,initial_minus_mean,initial_minus_median,initial_percentile_within_opponent_distribution
Glicko_low,Glicko low inflation,72,69,1163.01918224,1126.04867088,922.102511101,1017.62998532,1259.23038197,1514.20920263,1500,336.980817759,373.951329115,88.8888888889
Validation_best_Elo,Validation-best Elo,72,69,1482.59429957,1457.94427971,1378.3629196,1406.69252546,1516.20480561,1660.16460144,1500,17.4057004268,42.055720285,69.4444444444
