sample,games,events,glicko_reliability,elo_reliability,delta_reliability,delta_reliability_ci_lower,delta_reliability_ci_upper,glicko_resolution,elo_resolution,delta_resolution,delta_resolution_ci_lower,delta_resolution_ci_upper,common_uncertainty,delta_brier,delta_brier_ci_lower,delta_brier_ci_upper,bootstrap_replications
Overall,11379,629,0.000341698401797,0.000439190446187,9.74920443896e-05,-0.000373281685497,0.000589738235305,0.0609746634973,0.0586954908158,0.00227917268151,0.000889977028474,0.00371853881103,0.248742584287,0.00234874158473,0.000902437539381,0.00378880173053,2000
No debut,11305,629,0.000290832813816,0.000440716718855,0.000149883905039,-0.000296719255395,0.000660585525166,0.0618251229081,0.0588652597906,0.00295986311754,0.00149087852399,0.00442858431954,0.248782264739,0.00307992060027,0.00165885370555,0.00445800482758,2000
Exactly one debut,72,58,0.222554586999,0.0474423292884,-0.175112257711,-0.221320235089,-0.119532782831,0.135582010582,0.0720819304153,0.0635000801667,0.0137264303524,0.110017165281,0.234375,-0.112391276298,-0.157493244493,-0.0659563185177,2000
Both active and no debut,11036,626,0.000281003567119,0.000424363568391,0.000143360001271,-0.000314356190516,0.000654924717259,0.0618802776828,0.0589157400278,0.00296453765503,0.0016209511589,0.0043600605902,0.248673128938,0.00312578808283,0.00184538775002,0.00454715811446,2000
