sample,games,events,glicko_brier,elo_brier,delta_brier_glicko_vs_elo,glicko_logloss,elo_logloss,delta_logloss_glicko_vs_elo,glicko_accuracy,elo_accuracy,delta_accuracy_glicko_vs_elo,delta_brier_inflation,delta_logloss_inflation,delta_accuracy_inflation,delta_brier_glicko_vs_adaptive,delta_logloss_glicko_vs_adaptive,delta_accuracy_glicko_vs_adaptive,percentage_games_glicko_lower_brier_than_elo,percentage_games_glicko_lower_logloss_than_elo,delta_brier_ci_lower,delta_brier_ci_upper,delta_logloss_ci_lower,delta_logloss_ci_upper,bootstrap_type,bootstrap_replications
All 2025 evaluation games,11379,629,0.187603868924,0.19007264006,0.00246877113577,0.5517787243,0.556534255949,0.00475553164832,0.711486070832,0.704455576061,0.00703049477107,0.00810382441625,0.0201788496113,0.017751999297,0.00317755361188,0.00740606724675,0.0052728710783,0.516565603304,0.516565603304,0.00104512101398,0.00391054036157,0.00130475367488,0.00830701001134,event_cluster,2000
Exclude any debut match,11305,629,0.186709283032,0.189945768873,0.00323648584105,0.54949250286,0.556244096884,0.0067515940243,0.712781954887,0.704820875719,0.00796107916851,0.00798026980524,0.0198607145482,0.0175143741707,0.00385034011392,0.0091916202408,0.00592658115878,0.517381689518,0.517381689518,0.00187765236169,0.00466192712422,0.00338244472628,0.0102012584695,event_cluster,2000
Exclude exactly-one-debut matches,11307,629,0.186720477994,0.189956391361,0.00323591336632,0.549517912726,0.556268312518,0.00675039979169,0.712744317679,0.704784646679,0.00795967100027,0.00797885824252,0.0198572015536,0.0175112762006,0.00384965905969,0.00918999441251,0.00592553285575,0.517290174228,0.517290174228,0.00188384023694,0.00460673314898,0.00329433774708,0.00992118147051,event_cluster,2000
Exclude missing date information,11306,629,0.187410818052,0.189890830931,0.002480012879,0.55131879313,0.556096846439,0.00477805330885,0.711922872811,0.705023881125,0.00689899168583,0.0080803135334,0.0201090941569,0.0177781708827,0.00320538784575,0.00744611976144,0.00530691668141,0.516716787546,0.516716787546,0.00104560470608,0.00384963361606,0.00128490546479,0.00811692611693,event_cluster,2000
Exclude inactive >=365d,11181,626,0.187582696908,0.190072904244,0.00249020733549,0.551592607053,0.556621089468,0.00502848241482,0.711206511046,0.704588140596,0.00661837044987,0.00774162739269,0.0194063914539,0.0167248010017,0.00320509525251,0.0076602513799,0.00500849655666,0.515785707897,0.515785707897,0.00113496041985,0.00387004297145,0.00168295693123,0.00836742778617,event_cluster,2000
Exclude debut and inactive >=365d,11107,626,0.186672022537,0.189943773136,0.00327175059847,0.549264390068,0.556326336381,0.00706194631301,0.712523633744,0.704960835509,0.00756279823535,0.00761345709853,0.01907743865,0.0164760961556,0.00389005874283,0.00947932819845,0.00567209867651,0.516611146124,0.516611146124,0.00189811459596,0.00472255184349,0.00370845606417,0.01060021723,event_cluster,2000
Both players active last 365d,11036,626,0.186479537232,0.189768721077,0.00328918384435,0.548801276167,0.555903925022,0.00710264885456,0.712939470823,0.705509242479,0.0074302283436,0.00756439722761,0.0189544031098,0.0164008698804,0.00391798196796,0.00952373232039,0.00570859006887,0.516763320043,0.516763320043,0.00194376412303,0.00468643464538,0.00383026953602,0.0104368626143,event_cluster,2000
