range,range_label,games,events,brier_default_elo,brier_best_adaptive_k,brier_glicko_low,improvement_recovered_brier,recovery_ratio_valid_brier,logloss_default_elo,logloss_best_adaptive_k,logloss_glicko_low,improvement_recovered_logloss,recovery_ratio_valid_logloss
overall,Overall,11379,629,0.194155553153,0.190781422536,0.187723898475,0.524613149513,True,0.567632617282,0.559184791547,0.552153543275,0.545757823204,True
debut,Either player debut,74,60,0.220392814334,0.224665775282,0.318808459777,,False,0.629610335018,0.635672045359,0.875898269761,,False
total_previous_games_le5,Minimum total games <= 5,465,119,0.236693263291,0.238299233924,0.244379207356,,False,0.666936287802,0.671916935252,0.69808079511,,False
recent_games_le5,Minimum games last 365 days <= 5,1635,334,0.209692263028,0.206995503128,0.206329932951,0.802050910562,True,0.602240922307,0.59530639148,0.59776495332,1.54928035633,True
inactive_365,Inactive >= 365 days,198,148,0.195680448629,0.19042173176,0.188835410496,0.768252384796,True,0.570289164798,0.555341075117,0.560715442806,1.56136659222,True
both_active_last_365,Both players active last 365 days,11036,626,0.193793619307,0.1903975192,0.186642932994,0.474933448062,True,0.566772472212,0.558325008488,0.549399610245,0.486244796048,True
