model,count,initial_rating,mean,std,min,p10,p25,median,p75,p90,max,initial_minus_median
Glicko_low,22682,1500,1521.15098358,325.914926683,495.320092909,1100.5873664,1283.08579274,1512.73882538,1777.19156356,1941.32260841,2367.26199224,-12.7388253833
Validation_best_Elo,22682,1500,1704.56352212,224.416705515,1178.14683358,1435.93376982,1520.91966241,1672.62231162,1880.31309314,2018.99726668,2357.47413289,-172.622311622
