model,source_model,display_name,model_family,evaluation_games,brier,log_loss,accuracy,mean_favourite_probability,favourite_win_rate,corrected_calibration_error,reference_brier,reference_log_loss,reference_accuracy,brier_abs_diff_vs_reference,logloss_abs_diff_vs_reference,accuracy_abs_diff_vs_reference,matches_reference_within_tolerance
Glicko_low,Glicko_low_inflation_match_by_match,Glicko low inflation,Glicko,11379,0.187723898475,0.552153543275,0.711573952017,0.721989788337,0.711573952017,0.0128370359797,0.187723898475,0.552153543275,0.711573952017,2.77555756156e-17,0,0,True
Validation_best_Elo,Validation_best_Elo,Validation-best Elo,Elo,11379,0.19007264006,0.556534255949,0.704543457246,0.711184298612,0.704543457246,0.00695786180195,0.19007264006,0.556534255949,0.704543457246,2.77555756156e-17,1.11022302463e-16,0,True
Glicko_C0,Glicko_C0_match_by_match,Glicko C0,Glicko,11379,0.195742613602,0.571955559189,0.69382195272,0.694791530665,0.69382195272,0.00567005034988,0.195742613602,0.571955559189,0.69382195272,0,0,0,True
Default_Elo,Default_Elo,Default Elo,Elo,11379,0.194155553153,0.567632617282,0.70120397223,0.673838647377,0.70120397223,0.027365324853,0.194155553153,0.567632617282,0.70120397223,5.55111512313e-17,0,0,True
Conservative_Elo,Conservative_Elo,Conservative Elo,Elo,11379,0.201418477877,0.585927563619,0.68661569558,0.646043237244,0.68661569558,0.0405724583353,0.201418477877,0.585927563619,0.68661569558,8.32667268469e-17,0,0,True
best_AdaptiveK,AdaptiveK_PreviousYearGames_Elo_scale300,Best adaptive-K Elo,Adaptive-K Elo,11379,0.190781422536,0.559184791547,0.706301080939,0.688139056759,0.706301080939,0.0181879039463,0.190781422536,0.559184791547,0.706301080939,5.55111512313e-17,0,0,True
