model,model_display,orientation,orientation_display,subgroup,games,events,brier,logloss,accuracy,player_a_calibration_error,elo_brier,elo_logloss,elo_accuracy,delta_brier_vs_elo,delta_logloss_vs_elo,delta_accuracy_vs_elo,brier_change_vs_existing_saved_orientation,logloss_change_vs_existing_saved_orientation,delta_brier_vs_elo_ci_lower,delta_brier_vs_elo_ci_upper,delta_logloss_vs_elo_ci_lower,delta_logloss_vs_elo_ci_upper,bootstrap_replications
Glicko_low,Glicko low inflation,existing_saved_orientation,Existing saved-winner orientation,Overall,11379,629,0.187723898475,0.552153543275,0.711486070832,0.012749154795,0.19007264006,0.556534255949,0.704455576061,0.00234874158473,0.00438071267315,0.00703049477107,0,0,0.000923557643231,0.00382544302091,0.000923406445233,0.00802026683417,2000
Glicko_low,Glicko low inflation,fixed_player_a_direct,Fixed player-A direct,Overall,11379,629,0.187603868924,0.5517787243,0.711486070832,0.0119552738142,0.19007264006,0.556534255949,0.704455576061,0.00246877113577,0.00475553164833,0.00703049477107,-0.000120029551045,-0.000374818975178,0.00100772777299,0.00390329022811,0.00114105561584,0.00816979126766,2000
Glicko_low,Glicko low inflation,symmetric_diagnostic,Symmetric diagnostic,Overall,11379,629,0.187648971786,0.551885396314,0.711486070832,0.0129638949553,0.19007264006,0.556534255949,0.704455576061,0.00242366827426,0.00464885963492,0.00703049477107,-7.49266895338e-05,-0.000268146961775,0.000957873604745,0.00385739539631,0.0010014515873,0.00825857878277,2000
Glicko_low,Glicko low inflation,existing_saved_orientation,Existing saved-winner orientation,No debut,11305,629,0.186865848273,0.550034382748,0.712781954887,0.0110386679042,0.189945768873,0.556244096884,0.704820875719,0.00307992060027,0.00620971413626,0.00796107916851,0,0,0.00166665486984,0.00453866015668,0.00257029231002,0.00975141846339,2000
Glicko_low,Glicko low inflation,fixed_player_a_direct,Fixed player-A direct,No debut,11305,629,0.186709283032,0.54949250286,0.712781954887,0.0105042308307,0.189945768873,0.556244096884,0.704820875719,0.00323648584105,0.0067515940243,0.00796107916851,-0.000156565240776,-0.000541879888042,0.00179463831744,0.0046267258666,0.00321979670109,0.0101489952602,2000
Glicko_low,Glicko low inflation,symmetric_diagnostic,Symmetric diagnostic,No debut,11305,629,0.186713999533,0.549468724937,0.712781954887,0.0113367794715,0.189945768873,0.556244096884,0.704820875719,0.00323176934022,0.00677537194746,0.00796107916851,-0.000151848739953,-0.000565657811202,0.00176251099044,0.00475403093142,0.00320501586044,0.0105728482341,2000
Glicko_low,Glicko low inflation,existing_saved_orientation,Existing saved-winner orientation,Exactly one debut,72,58,0.320719805882,0.880974688905,0.513888888889,0.390792362907,0.208328529584,0.598298455535,0.652777777778,-0.112391276298,-0.282676233371,-0.138888888889,0,0,-0.158064175658,-0.0666480332946,-0.412791859077,-0.149774176756,2000
Glicko_low,Glicko low inflation,fixed_player_a_direct,Fixed player-A direct,Exactly one debut,72,58,0.326333052904,0.906820341902,0.513888888889,0.368286507104,0.208328529584,0.598298455535,0.652777777778,-0.118004523321,-0.308521886367,-0.138888888889,0.00561324702266,0.0258456529967,-0.161309140097,-0.0716192016377,-0.429783510447,-0.182732307575,2000
Glicko_low,Glicko low inflation,symmetric_diagnostic,Symmetric diagnostic,Exactly one debut,72,58,0.332720628173,0.927412428872,0.513888888889,0.374984492835,0.208328529584,0.598298455535,0.652777777778,-0.124392098589,-0.329113973337,-0.138888888889,0.0120008222912,0.0464377399666,-0.170251873735,-0.0769527105079,-0.457343097338,-0.199156847569,2000
Glicko_low,Glicko low inflation,existing_saved_orientation,Existing saved-winner orientation,"Returning >=365 days, no debut",198,148,0.188835410496,0.560715442806,0.727272727273,0.0932412655982,0.190057721682,0.55163079342,0.69696969697,0.00122231118523,-0.00908464938622,0.030303030303,0,0,-0.0136845448152,0.0153685036895,-0.0559127679623,0.0297806355674,2000
