model,model_display,games,events,debut_empirical_win_rate,mean_predicted_debut_win_probability,median_predicted_debut_win_probability,p10,p25,p75,p90,brier,logloss,accuracy,mean_absolute_probability_error,corrected_calibration_gap
Glicko_low,Glicko low inflation,72,58,0.402777777778,0.779479099793,0.825720239176,0.486323741033,0.716479671529,0.914155114184,0.951052580542,0.320719805882,0.880974688905,0.513888888889,0.460900578048,0.376701322015
Validation_best_Elo,Validation-best Elo,72,58,0.402777777778,0.540677229254,0.580002649945,0.227787310379,0.46894590559,0.671760491895,0.717801420011,0.208328529584,0.598298455535,0.652777777778,0.424964174131,0.137899451476
Glicko_C0,Glicko C0,72,58,0.402777777778,0.807835832563,0.85166273689,0.578266502401,0.733559850484,0.917643095186,0.94964116116,0.34784784397,0.949209247951,0.458333333333,0.483442011861,0.405058054785
best_AdaptiveK,Best adaptive-K,72,58,0.402777777778,0.574156707313,0.619323852035,0.326812921475,0.492403068391,0.688835868217,0.741949784429,0.223962046817,0.634075513826,0.611111111111,0.442902197688,0.171378929535
Default_Elo,Default Elo,72,58,0.402777777778,0.528771561002,0.552399053883,0.362032642397,0.492760254585,0.60383057134,0.649030914606,0.21957039251,0.627845422641,0.625,0.454386604944,0.125993783224
Glicko_minus_Elo_probability_difference,Glicko low - validation-best Elo,72,58,0.402777777778,0.238801870539,0.243488448627,0.147308229051,0.19579119791,0.284148376436,0.309024376818,,,,,
