common_initial_rating,validation_brier,validation_log_loss,validation_accuracy,max_difference_across_candidates
1000,0.191255611,0.561460971,0.705207636,0.0
1100,0.191255611,0.561460971,0.705207636,0.0
1200,0.191255611,0.561460971,0.705207636,0.0
1300,0.191255611,0.561460971,0.705207636,0.0
1400,0.191255611,0.561460971,0.705207636,0.0
1500,0.191255611,0.561460971,0.705207636,0.0
