variant,c_value,inactivity_unit,target_periods,evaluation_games_2025,log_loss,brier,accuracy,baseline_accuracy,runtime_seconds,final_players,final_mean_rd,final_median_rd,final_min_rd,final_max_rd,players_at_min_rd,players_near_max_rd,mean_abs_rating_change_2025,notes
C0_no_inflation,0.0,month,0,11379,0.5719555591885029,0.1957426136024994,0.6938219527199226,0.6938219527199226,14.229649900000002,5143,77.03010935741155,58.60098752929592,30.0,302.93806902735236,1295,0,7.2420340022744645,C0 matches the previous match-by-match Glicko baseline within tolerance.
low_inflation,22.50925735484551,month,240,11379,0.5521535432754021,0.18772389847535442,0.7115739520168732,0.7115739520168732,15.901062300000003,5143,118.87886297158225,111.85592977568595,43.2050045199218,312.0926057365084,0,0,16.517365108385142,
medium_inflation,31.83289703016886,month,120,11379,0.5546479412592846,0.1887285335626717,0.7097284471394675,0.7097284471394675,14.917630499999994,5143,133.3042435815217,127.11733883249666,48.94394436518444,317.5876984900212,0,0,21.057612175834336,
high_inflation,45.01851470969102,month,60,11379,0.5607566244703851,0.19089214734225005,0.706301080938571,0.706301080938571,14.8833677,5143,149.79808548802023,144.78572408274678,55.25512883953147,334.41378414388737,0,0,27.34764934969416,
