rating_period,rd_inflation_variant,c_value,inactivity_unit,evaluation_games_2025,log_loss,brier,accuracy,runtime_seconds,number_of_rating_periods,number_of_games,number_of_update_operations,mean_games_per_rating_period,mean_players_updated_per_period,final_players,final_mean_rd,final_median_rd,final_min_rd,final_max_rd,players_at_min_rd,players_near_max_rd,notes
match_by_match,low_inflation,22.50925735484551,month,11379,0.5521535432754021,0.18772389847535442,0.7115739520168732,11.308667,456382,456382,912764,1.0,2.0,5143,118.87886297158225,111.85592977568595,43.2050045199218,312.0926057365084,0,0,Matches previous low_inflation metrics within tolerance.
event_level,low_inflation,22.50925735484551,month,11379,0.5683504197955949,0.1934985723075755,0.7032252394762282,34.249668400000004,17357,456382,179090,26.29382957884427,10.31802730886674,5143,120.91237911174387,113.00633601062289,43.09679346855207,309.5547456388537,0,0,
monthly,low_inflation,22.50925735484551,month,11379,0.5693273425506241,0.19401315969889155,0.6984796555057562,11.488781799999998,482,456382,109234,946.850622406639,226.6265560165975,5143,120.75737955071158,113.17948456613769,43.21216575397277,306.45609383373267,0,0,
yearly,low_inflation,22.50925735484551,month,11379,0.5978357034302552,0.20538831064401802,0.6811670621319975,7.343947600000007,41,456382,40573,11131.268292682927,989.5853658536586,5143,120.74421479454011,114.21573975194973,33.34754816725725,309.9413616047324,0,0,
