model,model_family,model_role,evaluation_games,log_loss,brier,accuracy,mean_predicted_probability,median_predicted_probability,std_predicted_probability,very_confident_actual_winner_ge_0_9,very_unconfident_actual_winner_le_0_1,weighted_mean_abs_calibration_error,runtime_seconds_if_available,notes
Conservative_Elo,Elo,stability reference,11379,0.5859275636189281,0.20141847787740277,0.6866156955795764,0.5834875361600385,0.5693106292617595,0.1671401966714393,379,11,0.4165124638399616,2.253559299999999,
Default_Elo,Elo,transparent simple baseline,11379,0.5676326172820908,0.1941555531534452,0.7012039722295457,0.6022400110738204,0.5964648953074876,0.18958519025200973,719,29,0.3977599889261796,3.5269402000000003,
Validation_best_Elo,Elo,prediction-oriented Elo baseline,11379,0.5565342559485462,0.1900726400600803,0.7045434572458037,0.6235117632181039,0.6329733061738536,0.2198391403388833,1357,82,0.3764882367818961,3.2461076999999996,
Glicko_C0_match_by_match,Glicko,basic Glicko without inactivity inflation,11379,0.5719555591885029,0.1957426136024994,0.6938219527199226,0.6087863674716587,0.6195981811357402,0.20662649231519015,895,50,0.3912136325283414,14.229649900000002,
Glicko_low_inflation_match_by_match,Glicko,candidate main Glicko variant,11379,0.5521535432754022,0.18772389847535442,0.7115739520168732,0.6304803630278392,0.6521875251829777,0.22622806273165338,1429,90,0.36951963697216095,15.901062300000005,
