model,group,number_of_matches,mean_signed_complement_gap,mean_absolute_complement_gap,median_absolute_complement_gap,p90_absolute_complement_gap,p95_absolute_complement_gap,p99_absolute_complement_gap,maximum_absolute_complement_gap,percentage_abs_gap_above_0_001,percentage_abs_gap_above_0_005,percentage_abs_gap_above_0_01,percentage_abs_gap_above_0_05
Glicko_low,all_2025_matches,11379,-0.00022812935417660646,0.003929870555154637,0.001394412301536585,0.008928898072805062,0.015313132702926393,0.04558267726528343,0.0817971491396412,58.54644520608138,18.815361631074786,8.673872923807014,0.7821425432814835
Glicko_low,neither_player_first_20,9916,-0.000656474683484346,0.002323534751022067,0.0011453066444170878,0.005456621636968473,0.00797178673431792,0.016979114833301494,0.0740177985639291,53.680919725695844,11.45623235175474,3.065752319483663,0.09076240419524002
Glicko_low,either_player_first_1,74,0.04698082901994501,0.05693430346970361,0.06552056158621322,0.07740551720788975,0.07920075310884056,0.0811423094713599,0.0817971491396412,97.2972972972973,97.2972972972973,94.5945945945946,71.62162162162163
Glicko_low,either_player_first_5,387,0.014804436625412727,0.03220018649194172,0.02850254815718034,0.06609917511896331,0.0731517574923924,0.07912561150270964,0.0817971491396412,97.67441860465115,90.69767441860465,82.68733850129199,20.671834625322997
Glicko_low,either_player_first_10,785,0.006431626060543412,0.02171170497728774,0.01577130194656917,0.05143195537122091,0.0658386157691003,0.07739781618704346,0.0817971491396412,94.39490445859873,81.52866242038218,65.85987261146497,10.191082802547772
Glicko_low,either_player_first_20,1463,0.002675132631753363,0.014817379669152283,0.009108205852792706,0.0366811435294867,0.053646097445354785,0.07590673020589643,0.0817971491396412,91.52426520847573,68.69446343130554,46.684894053315105,5.468215994531784
Glicko_C0,all_2025_matches,11379,0.0002740125623879581,0.002623818527667938,9.303246629066564e-06,0.006395564895869613,0.01366800401019108,0.04886966741145274,0.0878489451029052,25.81949204675279,11.837595570788293,6.960189823358818,0.9666930310220583
Glicko_C0,neither_player_first_20,9916,-0.00019100889867126807,0.0005626811302556762,0.0,0.0017626005824877278,0.003167672910999869,0.00685967818763418,0.015693362829981572,15.681726502622025,2.3598225090762406,0.25211778943122226,0.0
Glicko_C0,either_player_first_1,74,0.058970408422577614,0.060993648266417885,0.0682100528310452,0.08472427067345427,0.086888579549707,0.08734953096740698,0.0878489451029052,97.2972972972973,94.5945945945946,94.5945945945946,74.32432432432432
Glicko_C0,either_player_first_5,387,0.017044880434593377,0.03610964722790069,0.03229856599905412,0.07055393444736222,0.07893315133806988,0.08688306330208763,0.0878489451029052,97.9328165374677,91.98966408268734,86.56330749354005,28.42377260981912
Glicko_C0,either_player_first_10,785,0.007701362425859744,0.024562571549404853,0.01894398142005138,0.05760527813355206,0.07010959377874323,0.08454761413154975,0.0878489451029052,96.56050955414013,85.09554140127389,72.86624203821655,14.012738853503185
Glicko_C0,either_player_first_20,1463,0.00342586000453648,0.016593906314913316,0.010590680370971883,0.041178484638863366,0.05953297750903992,0.08159194207528493,0.0878489451029052,94.53178400546821,76.07655502392345,52.42652084757348,7.518796992481203
