scope,group,model,convention,number_of_unique_matches,brier,log_loss,accuracy,mean_predicted_probability,empirical_smaller_id_win_rate,prediction_bias,delta_brier_elo_minus_glicko,delta_logloss_elo_minus_glicko,positive_delta_means
match_level,all_2025_matches,Validation_best_Elo,elo_reference,11379,0.19007264006008115,0.5565342559485486,0.7044555760611653,0.5358810622378227,0.5354600580015818,0.0004210042362409183,0.0,0.0,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,Glicko_low_current,current,11379,0.18760386892430575,0.5517787243002343,0.7114860708322348,0.5374409144123207,0.5354600580015818,0.0019808564107388626,0.0024687711357753994,0.004755531648314215,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,Glicko_low_reversed,reversed,11379,0.1880981532817149,0.5539083938524725,0.7114860708322348,0.5376690437664973,0.5354600580015818,0.002208985764915461,0.001974486778366258,0.0026258620960760704,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,Glicko_low_midpoint,midpoint,11379,0.1878307345367521,0.5526608881599345,0.7114860708322348,0.537554979089409,0.5354600580015818,0.002094921087827162,0.002241905523329063,0.003873367788614024,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,Glicko_C0_current,current,11379,0.19570769334052238,0.571957573911441,0.6937340715352843,0.5591244393069408,0.5354600580015818,0.023664381305358972,-0.005635053280441227,-0.015423317962892424,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,Glicko_C0_reversed,reversed,11379,0.1963108980148291,0.5748025530371804,0.6937340715352843,0.5588504267445528,0.5354600580015818,0.023390368742970957,-0.006238257954747944,-0.01826829708863187,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,Glicko_C0_midpoint,midpoint,11379,0.1959898183406208,0.5731288134935262,0.6937340715352843,0.5589874330257468,0.5354600580015818,0.02352737502416502,-0.005917178280539642,-0.01659455754497763,Glicko convention is better than validation-best Elo
match_level,neither_player_first_20,Validation_best_Elo,elo_reference,9916,0.1871318704126851,0.5497344339114901,0.7116780960064543,0.5381120271292726,0.5316659943525616,0.006446032776711075,0.0,0.0,Glicko convention is better than validation-best Elo
match_level,neither_player_first_20,Glicko_low_current,current,9916,0.1841145967814585,0.5429644213107411,0.7167204517950787,0.5411664365479391,0.5316659943525616,0.00950044219537749,0.0030172736312265858,0.0067700126007490535,Glicko convention is better than validation-best Elo
match_level,neither_player_first_20,Glicko_low_reversed,reversed,9916,0.18411110312301396,0.5429043563475263,0.7167204517950787,0.5418229112314233,0.5316659943525616,0.010156916878861777,0.003020767289671128,0.00683007756396381,Glicko convention is better than validation-best Elo
match_level,neither_player_first_20,Glicko_low_midpoint,midpoint,9916,0.18410771467993425,0.54291595679926,0.7167204517950787,0.5414946738896812,0.5316659943525616,0.009828679537119633,0.003024155732750833,0.006818477112230159,Glicko convention is better than validation-best Elo
match_level,neither_player_first_20,Glicko_C0_current,current,9916,0.19259611406071936,0.5639720907406962,0.6980637353771683,0.5664552537080293,0.5316659943525616,0.03478925935546773,-0.005464243648034273,-0.01423765682920608,Glicko convention is better than validation-best Elo
match_level,neither_player_first_20,Glicko_C0_reversed,reversed,9916,0.1925987249133117,0.5639786147518646,0.6980637353771683,0.5666462626067008,0.5316659943525616,0.034980268254139246,-0.005466854500626617,-0.014244180840374487,Glicko convention is better than validation-best Elo
match_level,neither_player_first_20,Glicko_C0_midpoint,midpoint,9916,0.19259687888555,0.5639729668554039,0.6980637353771683,0.5665507581573651,0.5316659943525616,0.03488476380480354,-0.005465008472864907,-0.014238532943913751,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,Validation_best_Elo,elo_reference,74,0.20945478554081548,0.6008619345893629,0.6486486486486487,0.4600074916779729,0.6216216216216216,-0.1616141299436487,0.0,0.0,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,Glicko_low_current,current,74,0.3242699974202546,0.9010453915946649,0.5135135135135135,0.26328880389870757,0.6216216216216216,-0.35833281772291403,-0.1148152118794391,-0.300183457005302,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,Glicko_low_reversed,reversed,74,0.3633577635411736,1.0633787718497025,0.5135135135135135,0.2163079748787625,0.6216216216216216,-0.4053136467428591,-0.15390297800035813,-0.46251683726033965,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,Glicko_low_midpoint,midpoint,74,0.3428809889042945,0.9699608093386896,0.5135135135135135,0.239798389388735,0.6216216216216216,-0.3818232322328866,-0.13342620336347905,-0.3690988747493267,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,Glicko_C0_current,current,74,0.35124929315377695,0.9698258207868531,0.4594594594594595,0.2412955924424783,0.6216216216216216,-0.38032602917914327,-0.14179450761296147,-0.3689638861974902,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,Glicko_C0_reversed,reversed,74,0.4018645049192993,1.195558829775036,0.4594594594594595,0.18232518401990072,0.6216216216216216,-0.4392964376017209,-0.19240971937848383,-0.594696895185673,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,Glicko_C0_midpoint,midpoint,74,0.37548139669625424,1.0635575081254995,0.4594594594594595,0.21181038823118953,0.6216216216216216,-0.4098112333904321,-0.16602661115543876,-0.46269557353613666,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,Validation_best_Elo,elo_reference,387,0.2332591061226162,0.6646674121523118,0.6149870801033591,0.46796612197942017,0.5658914728682171,-0.09792535088879689,0.0,0.0,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,Glicko_low_current,current,387,0.25301497155823527,0.7237003524878902,0.6201550387596899,0.4172053249117448,0.5658914728682171,-0.14868614795647228,-0.01975586543561908,-0.05903294033557838,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,Glicko_low_reversed,reversed,387,0.26580701971382537,0.7818668213921718,0.6201550387596899,0.4024008882863321,0.5658914728682171,-0.16349058458188498,-0.03254791359120918,-0.11719940923985994,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,Glicko_low_midpoint,midpoint,387,0.25903574107739674,0.7483309529274511,0.6201550387596899,0.40980310659903835,0.5658914728682171,-0.1560883662691787,-0.025776634954780553,-0.08366354077513927,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,Glicko_C0_current,current,387,0.2569187522272354,0.7343855815526509,0.5968992248062015,0.4122307487033643,0.5658914728682171,-0.15366072416485277,-0.023659646104619236,-0.06971816940033904,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,Glicko_C0_reversed,reversed,387,0.2724305457303019,0.8092974299977331,0.5968992248062015,0.3951858682687709,0.5658914728682171,-0.17070560459944617,-0.03917143960768571,-0.1446300178454213,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,Glicko_C0_midpoint,midpoint,387,0.2642159010593839,0.7651516293076981,0.5968992248062015,0.4037083084860676,0.5658914728682171,-0.16218316438214947,-0.03095679493676773,-0.10048421715538625,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,Validation_best_Elo,elo_reference,785,0.21984264018547436,0.6287569332562587,0.6356687898089172,0.5021868929697065,0.5694267515923567,-0.06723985862265014,0.0,0.0,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,Glicko_low_current,current,785,0.22756382940146117,0.6569509579047144,0.6598726114649681,0.4814106802964305,0.5694267515923567,-0.08801607129592615,-0.007721189215986801,-0.028194024648455662,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,Glicko_low_reversed,reversed,785,0.23447231822519865,0.6880376680822424,0.6598726114649681,0.47497905423588715,0.5694267515923567,-0.09444769735646952,-0.014629678039724286,-0.05928073482598373,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,Glicko_low_midpoint,midpoint,785,0.2308066826998934,0.6701380521482382,0.6598726114649681,0.4781948672661588,0.5694267515923567,-0.09123188432619789,-0.010964042514419042,-0.041381118891979485,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,Glicko_C0_current,current,785,0.23208315429926799,0.6698398103044079,0.6496815286624203,0.4739755030194207,0.5694267515923567,-0.09545124857293596,-0.012240514113793621,-0.04108287704814917,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,Glicko_C0_reversed,reversed,785,0.2404078209773886,0.7100952898050831,0.6496815286624203,0.466274140593561,0.5694267515923567,-0.10315261099879569,-0.020565180791914245,-0.08133835654882438,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,Glicko_C0_midpoint,midpoint,785,0.23598683669908307,0.6864257132125435,0.6496815286624203,0.47012482180649084,0.5694267515923567,-0.09930192978586583,-0.01614419651360871,-0.05766877995628483,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,Validation_best_Elo,elo_reference,1463,0.21000474656970472,0.6026224550732717,0.6555023923444976,0.5207599085374689,0.5611756664388243,-0.04041575790135543,0.0,0.0,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,Glicko_low_current,current,1463,0.21125364511601694,0.6115207806528086,0.6760082023239918,0.5121898703270221,0.5611756664388243,-0.048985796111802204,-0.001248898546312216,-0.008898325579536848,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,Glicko_low_reversed,reversed,1463,0.21512179605251355,0.6284921504478561,0.6760082023239918,0.5095147376952688,0.5611756664388243,-0.051660928743555545,-0.005117049482808833,-0.02586969537458439,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,Glicko_low_midpoint,midpoint,1463,0.213064818542361,0.618710607484916,0.6760082023239918,0.5108523040111455,0.5611756664388243,-0.050323362427678875,-0.0030600719726562864,-0.016088152411644296,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,Glicko_C0_current,current,1463,0.21679752255345922,0.6260820107679715,0.6643882433356118,0.5094372516096098,0.5611756664388243,-0.051738414829214485,-0.006792775983754495,-0.02345955569469982,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,Glicko_C0_reversed,reversed,1463,0.22147146429961817,0.6481656234658826,0.6643882433356118,0.5060113916050735,0.5611756664388243,-0.05516427483375086,-0.01146671772991345,-0.045543168392610855,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,Glicko_C0_midpoint,midpoint,1463,0.21898666566562572,0.6351858027372862,0.6643882433356118,0.5077243216073417,0.5611756664388243,-0.05345134483148262,-0.008981919095920998,-0.032563347664014475,Glicko convention is better than validation-best Elo
